temperature,humidity,datetime
24.0,39.0,2022-10-22 18:12:09.448190
24.0,39.0,2022-10-22 18:12:09.974014
24.0,39.0,2022-10-22 18:12:10.499878
24.0,39.0,2022-10-22 18:12:13.556972
24.0,39.0,2022-10-22 18:12:14.082799
24.0,39.0,2022-10-22 18:12:14.608677
24.0,39.0,2022-10-22 18:12:15.134316
24.0,39.0,2022-10-22 18:12:15.659980
24.0,39.0,2022-10-22 18:12:16.185838
24.0,39.0,2022-10-22 18:12:16.711676
24.0,39.0,2022-10-22 18:12:17.237552
24.0,39.0,2022-10-22 18:12:17.763398
24.0,39.0,2022-10-22 18:12:20.816951
24.0,39.0,2022-10-22 18:12:23.870568
24.0,39.0,2022-10-22 18:12:24.396502
24.0,39.0,2022-10-22 18:12:24.922355
24.0,39.0,2022-10-22 18:12:25.448217
24.0,39.0,2022-10-22 18:12:25.974102
24.0,39.0,2022-10-22 18:12:26.500027
24.0,39.0,2022-10-22 18:12:27.025929
24.0,39.0,2022-10-22 18:12:27.551812
24.0,39.0,2022-10-22 18:12:28.077683
24.0,39.0,2022-10-22 18:12:28.603535
24.0,39.0,2022-10-22 18:12:29.129197
24.0,39.0,2022-10-22 18:12:29.655014
24.0,39.0,2022-10-22 18:12:30.180829
24.0,39.0,2022-10-22 18:12:30.706751
24.0,39.0,2022-10-22 18:12:31.232613
24.0,39.0,2022-10-22 18:12:31.758452
24.0,39.0,2022-10-22 18:12:32.284337
24.0,39.0,2022-10-22 18:12:32.810219
24.0,39.0,2022-10-22 18:12:33.336196
24.0,39.0,2022-10-22 18:12:33.862115
24.0,39.0,2022-10-22 18:12:34.388159
24.0,39.0,2022-10-22 18:12:34.914069
24.0,39.0,2022-10-22 18:12:35.439819
24.0,39.0,2022-10-22 18:12:35.965746
24.0,39.0,2022-10-22 18:12:36.491679
24.0,39.0,2022-10-22 18:12:37.017642
24.0,39.0,2022-10-22 18:12:37.543573
24.0,39.0,2022-10-22 18:12:38.069500
24.0,39.0,2022-10-22 18:12:38.595794
24.0,39.0,2022-10-22 18:12:39.120928
24.0,39.0,2022-10-22 18:12:39.647385
24.0,39.0,2022-10-22 18:12:40.173311
24.0,39.0,2022-10-22 18:12:40.699277
24.0,39.0,2022-10-22 18:12:43.755904
24.0,39.0,2022-10-22 18:12:44.281740
24.0,39.0,2022-10-22 18:12:47.338337
24.0,39.0,2022-10-22 18:12:47.864153
24.0,39.0,2022-10-22 18:12:48.389985
24.0,39.0,2022-10-22 18:12:48.915832
24.0,39.0,2022-10-22 18:12:49.441715
24.0,39.0,2022-10-22 18:12:49.967621
24.0,39.0,2022-10-22 18:12:50.493452
24.0,39.0,2022-10-22 18:12:51.019307
24.0,39.0,2022-10-22 18:12:51.545158
24.0,39.0,2022-10-22 18:12:52.070991
24.0,39.0,2022-10-22 18:12:52.596928
24.0,39.0,2022-10-22 18:12:53.122780
24.0,39.0,2022-10-22 18:12:53.648634
24.0,39.0,2022-10-22 18:12:54.174465
24.0,39.0,2022-10-22 18:12:54.700384
24.0,39.0,2022-10-22 18:12:55.226336
24.0,39.0,2022-10-22 18:12:55.752165
24.0,39.0,2022-10-22 18:12:56.278046
24.0,39.0,2022-10-22 18:12:59.331512
24.0,39.0,2022-10-22 18:12:59.857406
24.0,39.0,2022-10-22 18:13:00.383241
24.0,39.0,2022-10-22 18:13:00.909025
24.0,39.0,2022-10-22 18:13:01.434888
24.0,39.0,2022-10-22 18:13:01.960689
24.0,39.0,2022-10-22 18:13:02.486631
24.0,39.0,2022-10-22 18:13:03.012492
24.0,39.0,2022-10-22 18:13:03.538363
24.0,39.0,2022-10-22 18:13:04.064211
24.0,39.0,2022-10-22 18:13:04.590067
24.0,39.0,2022-10-22 18:13:05.115937
24.0,39.0,2022-10-22 18:13:05.642209
24.0,39.0,2022-10-22 18:13:08.695215
24.0,39.0,2022-10-22 18:13:09.221309
24.0,39.0,2022-10-22 18:13:09.747199
24.0,39.0,2022-10-22 18:13:12.803961
24.0,39.0,2022-10-22 18:13:13.329666
24.0,39.0,2022-10-22 18:13:13.855510
24.0,39.0,2022-10-22 18:13:14.381141
24.0,39.0,2022-10-22 18:13:14.907038
24.0,39.0,2022-10-22 18:13:15.432912
24.0,39.0,2022-10-22 18:13:15.958749
24.0,39.0,2022-10-22 18:13:16.484606
24.0,39.0,2022-10-22 18:13:17.010445
24.0,39.0,2022-10-22 18:13:17.536374
24.0,39.0,2022-10-22 18:13:18.062287
24.0,39.0,2022-10-22 18:13:18.588157
24.0,39.0,2022-10-22 18:13:19.114029
24.0,39.0,2022-10-22 18:13:19.639872
24.0,39.0,2022-10-22 18:13:20.165734
24.0,39.0,2022-10-22 18:13:20.691627
24.0,39.0,2022-10-22 18:13:21.217516
24.0,39.0,2022-10-22 18:13:21.743362
24.0,39.0,2022-10-22 18:13:22.269221
24.0,39.0,2022-10-22 18:13:22.795062
24.0,39.0,2022-10-22 18:13:23.320898
24.0,39.0,2022-10-22 18:13:23.846863
24.0,39.0,2022-10-22 18:13:24.372725
24.0,39.0,2022-10-22 18:13:24.898562
24.0,39.0,2022-10-22 18:13:25.424467
24.0,39.0,2022-10-22 18:13:25.950299
24.0,39.0,2022-10-22 18:13:26.476234
24.0,39.0,2022-10-22 18:13:27.002110
24.0,39.0,2022-10-22 18:13:27.527991
24.0,39.0,2022-10-22 18:13:30.581511
24.0,39.0,2022-10-22 18:13:31.107360
24.0,39.0,2022-10-22 18:13:31.633256
24.0,39.0,2022-10-22 18:13:32.159097
24.0,39.0,2022-10-22 18:13:32.684984
24.0,39.0,2022-10-22 18:13:33.210846
24.0,39.0,2022-10-22 18:13:33.736833
24.0,39.0,2022-10-22 18:13:34.262549
24.0,39.0,2022-10-22 18:13:34.788635
24.0,39.0,2022-10-22 18:13:35.314550
